track_id,title,artist,popularity,genre,danceability,valence,album_id,album_name,album_release_date,playlist_name,playlist_id,subgenre,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,duration_ms,valence.c
7sYAS4CpbV90oSemgaEQat,On & On,Alok,79,pop,74.7,67,2a9AGivapFES2j2ElI3odn,On & On,2019-11-22,Dance Room,37i9dQZF1DX2ENAPP1Tyed,dance pop,77.60000000000001,10,-5.898,0,7.22,2.33,0.00138,76.1,125.07,147027,18.80405714285714
1YSwQvw1NrEPfA0j1iY8eV,All The Lies,Alok,56,pop,70.7,63.4,2FdyKqNeEX2H7gUhtlmJDC,All The Lies (Remixes),2019-07-19,Cardio,37i9dQZF1DWSJHnPb1f0X3,dance pop,80.60000000000001,6,-4.777,1,17.5,0.9079999999999999,0,36.6,119.972,163000,15.204057142857138
39cmB3ZoTOLwOTq7tMNqKa,Hear Me Now,Alok,75,pop,77.8,49.6,6fpsA5aYbVNLe6y3P49o2o,Hear Me Now,2016,ElectroPop 2020,4frhr6RQM2fMOm2mpvOVo6,electropop,46.300000000000004,11,-7.603,1,3.8899999999999997,54.6,0.28900000000000003,7.31,121.999,194840,1.4040571428571411
2Dnb6yPGUq0vmGtxzm3bwi,The Wall,Alok,65,pop,68.2,53.6,0hH9tb1b4Z87g7SHmnriKa,The Wall,2019-06-28,Electropop,2Z5cPJ6Z4EVZAfF08amjvL,electropop,91,11,-2.314,1,4.31,0.9530000000000001,6.7299999999999995,7.32,122.943,159500,5.404057142857141
1a5Yu5L18qNxVhXx38njON,Hear Me Now,Alok,52,pop,78.8,46.1,6apmeAAgvzvhBKio8WYThf,Hear Me Now,2016-01-01,Chillout & Remixes 💜,4NlAd9NpIa92IjErMyAriM,indie poptimism,43,11,-7.757,1,4.19,53.7,0.261,9.36,121.996,192846,-2.095942857142859
74RrMiuSOzAHZEqLlC0BHz,Toda La Noche,Alok,45,latin,73.5,61.6,3GQZqxmeWL4dAJQKROGnbu,Toda La Noche,2018-05-25,Latin Pop Songs,5uOMV7g6vp8WxoqXfkzKaw,latin pop,81.89999999999999,0,-4.809,1,12.4,37.9,0,4.2299999999999995,90.039,186667,13.404057142857141
7sYAS4CpbV90oSemgaEQat,On & On,Alok,79,edm,74.7,67,2a9AGivapFES2j2ElI3odn,On & On,2019-11-22,Electro House Top Tracks,1G0q0NK7g3C0XerNqq7GbL,electro house,77.60000000000001,10,-5.898,0,7.22,2.33,0.00138,76.1,125.07,147027,18.80405714285714
0Qp1IH1EkRCNabfgzxNMUT,The Wall,Alok,61,edm,68.2,53.6,4w68G9ohlk8eiePpr3Dd4a,The Wall,2019-06-28,EDM 2020 House & Dance,25ButZrVb1Zj1MJioMs09D,electro house,91,11,-2.314,1,4.31,0.9530000000000001,6.7299999999999995,7.32,122.943,159500,5.404057142857141
36C0Gw2RmYWy5aEpMPaQ0e,Tell Me Why,Alok,61,edm,56.10000000000001,19.5,1R2C7EG1sDRGnKSxGmLU4o,Tell Me Why,2019-08-30,Club Mix 2020 🍹,7sq6nuruoMyDhEWkX2oYOg,electro house,90.9,11,-3.66,0,3.91,0.527,0.0205,35.099999999999994,123.03,161951,-28.69594285714286
1UTXQrmAL4oladIwc1PWSh,Metaphor,Alok,61,edm,56.699999999999996,26.700000000000003,2ds371eeP7JXPUhBCk26eH,Metaphor,2019-02-01,PAROOKAVILLE - Big Room,6vbHQdtfmexb0ptmBSpemm,big room,95.1,8,-5.087,0,3.88,2.13,30.2,10.100000000000001,138.03,202000,-21.495942857142857
